username,champion,podium,points,updated_at,rank_history
Arby G,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-28T23:48:20.54+00:00,[]
Germany Fan Since 82,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-26T23:25:02.707+00:00,[]
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Norway"",""second"":""Argentina""}",0,2026-05-24T19:19:44.836+00:00,[]
IrishmanArtin,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-24T19:21:03.297+00:00,[]
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain""}",6,2026-05-29T05:43:14.027+00:00,[]
